"profile_id","EthnicitySelf","gender","AgeRated","FemaleProb","MaleProb","Attractive","photo","age","attr_level"
"AF-200","A","F",32.57142857,1,0,4.111111111,"AF-200.jpg",33,"high"
"AF-201","A","F",23.66666667,1,0,3.111111111,"AF-201.jpg",24,"medium"
"AF-202","A","F",24.44827586,0.827586207,0.172413793,3,"AF-202.jpg",24,"low"
"AF-203","A","F",22.75862069,1,0,3.275862069,"AF-203.jpg",23,"medium"
"AF-204","A","F",30.13793103,1,0,3.172413793,"AF-204.jpg",30,"medium"
"AF-205","A","F",26.59259259,1,0,4.333333333,"AF-205.jpg",27,"high"
"AF-206","A","F",26.52380952,0.857142857,0.142857143,2.714285714,"AF-206.jpg",27,"low"
"AF-207","A","F",28.4137931,1,0,2.137931034,"AF-207.jpg",28,"low"
"AF-208","A","F",28.53846154,1,0,3.038461538,"AF-208.jpg",29,"medium"
"AF-209","A","F",22.56,1,0,4.08,"AF-209.jpg",23,"high"
"AF-210","A","F",23.53846154,1,0,2.615384615,"AF-210.jpg",24,"low"
"AF-211","A","F",22.5,0.923076923,0.076923077,3.307692308,"AF-211.jpg",22,"medium"
"AF-212","A","F",23.85714286,1,0,2.607142857,"AF-212.jpg",24,"low"
"AF-213","A","F",40.18181818,1,0,3,"AF-213.jpg",40,"low"
"AF-214","A","F",26.84615385,1,0,3.730769231,"AF-214.jpg",27,"medium"
"AF-215","A","F",30.44444444,1,0,2.814814815,"AF-215.jpg",30,"low"
"AF-216","A","F",25.93333333,1,0,3.266666667,"AF-216.jpg",26,"medium"
"AF-217","A","F",19.70833333,1,0,3.833333333,"AF-217.jpg",20,"high"
"AF-218","A","F",24.03571429,1,0,4.678571429,"AF-218.jpg",24,"high"
"AF-219","A","F",25.10714286,1,0,2.928571429,"AF-219.jpg",25,"low"
"AF-220","A","F",25.26086957,1,0,3.173913043,"AF-220.jpg",25,"medium"
"AF-221","A","F",25.62962963,1,0,3,"AF-221.jpg",26,"low"
"AF-222","A","F",24.86206897,1,0,3.689655172,"AF-222.jpg",25,"medium"
"AF-223","A","F",44.80769231,1,0,3.185185185,"AF-223.jpg",45,"medium"
"AF-224","A","F",28.76,0.96,0.04,3.24,"AF-224.jpg",29,"medium"
"AF-225","A","F",22.14285714,1,0,3.034482759,"AF-225.jpg",22,"medium"
"AF-226","A","F",29.24,1,0,3.56,"AF-226.jpg",29,"medium"
"AF-227","A","F",27.11538462,0.961538462,0.038461538,3.92,"AF-227.jpg",27,"high"
"AF-228","A","F",24.76923077,1,0,4.346153846,"AF-228.jpg",25,"high"
"AF-229","A","F",25.85185185,1,0,4.37037037,"AF-229.jpg",26,"high"
"AF-230","A","F",24.14814815,1,0,4.518518519,"AF-230.jpg",24,"high"
"AF-231","A","F",46.58333333,1,0,2.347826087,"AF-231.jpg",47,"low"
