"profile_id","EthnicitySelf","gender","AgeRated","FemaleProb","MaleProb","Attractive","photo","age","attr_level"
"BF-001","B","F",28.49438202,1,0,2.730337079,"BF-001.jpg",28,"low"
"BF-002","B","F",21.34408602,1,0,4.892473118,"BF-002.jpg",21,"high"
"BF-003","B","F",25.80898876,0.988764045,0.011235955,3.191011236,"BF-003.jpg",26,"medium"
"BF-004","B","F",26.98369565,1,0,2.711111111,"BF-004.jpg",27,"low"
"BF-005","B","F",28.12087912,1,0,4.076923077,"BF-005.jpg",28,"high"
"BF-006","B","F",27.92631579,0.989361702,0.010638298,3.380434783,"BF-006.jpg",28,"medium"
"BF-007","B","F",30.51086957,0.97826087,0.02173913,1.769230769,"BF-007.jpg",31,"low"
"BF-008","B","F",24.57471264,1,0,3.068965517,"BF-008.jpg",25,"medium"
"BF-009","B","F",30.07446809,1,0,2.77173913,"BF-009.jpg",30,"medium"
"BF-010","B","F",29.2,1,0,2.722222222,"BF-010.jpg",29,"low"
"BF-011","B","F",28.58510638,1,0,2.989247312,"BF-011.jpg",29,"medium"
"BF-012","B","F",26.77659574,0.989361702,0.010638298,2.161290323,"BF-012.jpg",27,"low"
"BF-013","B","F",18.31521739,1,0,4.777777778,"BF-013.jpg",18,"high"
"BF-014","B","F",27.22988506,0.977011494,0.022988506,2.406976744,"BF-014.jpg",27,"low"
"BF-015","B","F",29.53608247,0.989795918,0.010204082,3.721649485,"BF-015.jpg",30,"high"
"BF-016","B","F",27.09302326,1,0,2.476190476,"BF-016.jpg",27,"low"
"BF-017","B","F",34.26966292,0.988764045,0.011235955,2.988636364,"BF-017.jpg",34,"medium"
"BF-018","B","F",26.9010989,0.978021978,0.021978022,3.444444444,"BF-018.jpg",27,"high"
"BF-019","B","F",29.7032967,1,0,2.615384615,"BF-019.jpg",30,"low"
"BF-020","B","F",26.45744681,0.827956989,0.172043011,2.64893617,"BF-020.jpg",26,"low"
"BF-021","B","F",26.40860215,1,0,3.054347826,"BF-021.jpg",26,"medium"
"BF-023","B","F",30.75,1,0,2.857142857,"BF-023.jpg",31,"medium"
"BF-024","B","F",36.30769231,0.989010989,0.010989011,2.3,"BF-024.jpg",36,"low"
"BF-025","B","F",25.27659574,1,0,3.70212766,"BF-025.jpg",25,"high"
"BF-027","B","F",38,0.989247312,0.010752688,3,"BF-027.jpg",38,"medium"
"BF-028","B","F",22.62365591,1,0,3.731182796,"BF-028.jpg",23,"high"
"BF-029","B","F",23.13483146,0.715909091,0.284090909,2.11627907,"BF-029.jpg",23,"low"
"BF-030","B","F",22.97894737,0.989473684,0.010526316,3.741935484,"BF-030.jpg",23,"high"
"BF-031","B","F",26.33695652,0.978021978,0.021978022,3.02173913,"BF-031.jpg",26,"medium"
"BF-032","B","F",30.48958333,0.979166667,0.020833333,2.357894737,"BF-032.jpg",30,"low"
"BF-033","B","F",28.95744681,0.978723404,0.021276596,2.436170213,"BF-033.jpg",29,"low"
"BF-034","B","F",26.29896907,0.948453608,0.051546392,2.237113402,"BF-034.jpg",26,"low"
"BF-035","B","F",19,0.341176471,0.658823529,2.658823529,"BF-035.jpg",19,"low"
"BF-036","B","F",23.2,0.988888889,0.011111111,3.719101124,"BF-036.jpg",23,"high"
"BF-037","B","F",25.46067416,0.988505747,0.011494253,2.941176471,"BF-037.jpg",25,"medium"
"BF-038","B","F",26.45744681,0.989361702,0.010638298,1.892473118,"BF-038.jpg",26,"low"
"BF-039","B","F",24.87640449,1,0,3.322222222,"BF-039.jpg",25,"medium"
"BF-040","B","F",20.65517241,0.988505747,0.011494253,3.206896552,"BF-040.jpg",21,"medium"
"BF-041","B","F",17.93617021,0.978947368,0.021052632,4,"BF-041.jpg",18,"high"
"BF-042","B","F",21.29545455,0.977272727,0.022727273,3.738636364,"BF-042.jpg",21,"high"
"BF-043","B","F",23.50526316,0.978494624,0.021505376,3.225806452,"BF-043.jpg",24,"medium"
"BF-044","B","F",25.57446809,0.808510638,0.191489362,2.106382979,"BF-044.jpg",26,"low"
"BF-045","B","F",22.93617021,0.893617021,0.106382979,2.787234043,"BF-045.jpg",23,"medium"
"BF-047","B","F",34.21348315,1,0,2.909090909,"BF-047.jpg",34,"medium"
"BF-048","B","F",30.76344086,0.989361702,0.010638298,2.680851064,"BF-048.jpg",31,"low"
"BF-049","B","F",20.82978723,0.989361702,0.010638298,4.446808511,"BF-049.jpg",21,"high"
"BF-050","B","F",22.375,0.979166667,0.020833333,3.791666667,"BF-050.jpg",22,"high"
"BF-051","B","F",33.40229885,0.988505747,0.011494253,2.137931034,"BF-051.jpg",33,"low"
"BM-002","B","M",25.10638298,0,1,3.670212766,"BM-002.jpg",25,"high"
"BM-009","B","M",18.47959184,0,1,2.908163265,"BM-009.jpg",18,"medium"
"BM-011","B","M",29.02173913,0,1,2.869565217,"BM-011.jpg",29,"medium"
"BM-013","B","M",22.97752809,0.011235955,0.988764045,2.707865169,"BM-013.jpg",23,"low"
"BM-015","B","M",27.86021505,0,1,2.569892473,"BM-015.jpg",28,"low"
"BM-017","B","M",32.8172043,0,1,2.945054945,"BM-017.jpg",33,"medium"
"BM-018","B","M",28.79591837,0,1,3.551020408,"BM-018.jpg",29,"high"
"BM-019","B","M",21.61363636,0.011494253,0.988505747,3.875,"BM-019.jpg",22,"high"
"BM-020","B","M",35.29069767,0,1,2.729411765,"BM-020.jpg",35,"low"
"BM-021","B","M",36.88947368,0,1,3.095744681,"BM-021.jpg",37,"medium"
